index,mode,height,width,class,path
21,P,213,237,fluxogram,/004/sha1-0049ac19c848f4cf65ea7bc9c97237ff339ebfec.png
22,RGB,1040,1388,photomicrograph,/004/sha1-004fd7ec7be5f70c53a0dc5ca2e000462f236e85.jpg
23,RGB,1040,1388,photomicrograph,/005/sha1-00512ad488a32f02ea7165078b538cba8eb89d23.jpg
24,RGB,312,162,equipment sketch,/005/sha1-0051abf5b3bfe1485ab5e749b91ac101cc937220.jpg
25,RGB,425,631,geological chart,/005/sha1-00597e1af993f0ef5740c699f706e3c8b9c35a84.png
26,RGB,582,571,reference map,/005/sha1-005bb056b68c7dc868fe833376cd1035020a4ea6.png
27,RGB,202,250,photomicrograph,/005/sha1-005bd77549c0d107546f1ad3920c48333718144e.jpg
28,RGB,1040,1388,photomicrograph,/005/sha1-005c1e14180a63779e2eb737e9d1230f14398be6.jpg
29,L,522,370,person portrait photograph,/006/sha1-0061031f1bf160983d58f7030e960cafa34403b3.png
30,RGB,534,537,reference map,/006/sha1-006334d19676eb1bcc29b72b624bb73176e84870.png
31,RGB,519,1183,submarine arrangement,/006/sha1-006e9fbecc424a2fec375cde2798c213d58403cf.jpg
32,RGB,1956,1377,profile,/007/sha1-00759560d146b048677abc502478ad7aa883040b.png
33,RGB,395,355,van krevelen diagram,/007/sha1-0075a126b7f60f36ebddf41c6ef5a3bd746cfc9b.png
34,RGB,1040,1388,photomicrograph,/007/sha1-0076dbd6e32deda1eda095cd124590565129675f.jpg
35,RGB,165,877,outcrop photograph,/007/sha1-00778d3b849a695477d2e89a12d0be9d27248c8d.png
36,P,550,850,stratigraphic isoattribute map,/007/sha1-0078f85011e6aa31da0190967786d74c8fbc9763.png
37,P,1502,720,profile,/007/sha1-007996ce27563886b0d4d3345ad01d49ec472f19.png
38,RGB,1040,1388,photomicrograph,/007/sha1-0079e223f902b416716f649fcf2f6e1034b741f9.jpg
39,P,393,674,photomicrograph,/007/sha1-007b835487a123ed2f832e179d480db2086540b0.png
40,RGB,1040,1388,photomicrograph,/007/sha1-007bd54d9f9b94663bd344e437c67e81f7f1f403.jpg
41,RGB,1099,1244,reference map,/007/sha1-007d2aa9a2bd95d8146e0b3d44a57d17cf0e5371.png
42,RGB,266,189,completion scheme,/008/sha1-0081858b97d6e18cb8ca9c1f8a6b1561b94fc15f.jpg
43,RGB,1040,1388,photomicrograph,/008/sha1-0085feb73717324a82111cbe257852e6682b23d6.jpg
44,RGB,400,533,table,/009/sha1-009df10dfed3d3f4d2ab170621b3c94fe122208c.jpg
45,RGB,1040,1388,photomicrograph,/00a/sha1-00a335f861d70ff936569273a78d8494c5cb6ae6.jpg
46,RGB,205,260,outcrop photograph,/00a/sha1-00a6f112290ac76bd805d668a89c4954e70b3b4b.jpg
47,RGB,1040,1388,photomicrograph,/00a/sha1-00a9ee8ef9b4ef30cd1a80e0fd16388412f8a62f.jpg
48,RGB,333,499,outcrop photograph,/00a/sha1-00a9f9d602abd4de36444b62532219f6183da57c.jpg
49,RGB,1040,1388,photomicrograph,/00a/sha1-00ac20c9a869f84b034f466776f8e37b9604e45f.jpg
50,RGB,375,500,outcrop photograph,/00a/sha1-00ae233bcd93df02eb84dccc3ffd7d31afc827f6.jpg
51,RGB,1040,1388,photomicrograph,/00b/sha1-00b0df678a95dd537f60ed88cf246b371e7fdfbc.jpg
52,P,520,850,seismic section,/00b/sha1-00b22c31ecccf6811a50f051681bba4334c7f3d9.png
53,RGB,196,257,plant and project sketch,/00b/sha1-00b652c6accbf72f5ba00bb8461309fe965ba78e.jpg
54,RGB,1176,1357,outcrop photograph,/00b/sha1-00b6dbdc0ed9d414307ec59bef8132768b24fd1e.png
55,RGB,545,739,photomicrograph,/00b/sha1-00b9702f149c3e49b2e8cad689f30bfbbb4b43aa.jpg
56,RGB,1040,1388,photomicrograph,/00b/sha1-00b9b5c52c75e7083bf29492d2c659588df1cdab.jpg
57,RGB,1560,2126,geology sketch,/00b/sha1-00b9c21cd69672a711811046120c7016a5389d39.jpg
58,RGB,1040,1388,photomicrograph,/00b/sha1-00bab6be060960a2d021387c953263958d760854.jpg
59,RGB,204,600,table,/00b/sha1-00bc638517983b3afee5f5807b326e7e2aeea96b.png
60,RGB,948,696,outcrop photograph,/00b/sha1-00bd3fb27784949035ecd2f55dc851701ebaf232.jpg
61,RGB,1040,1388,photomicrograph,/00b/sha1-00bd41291f0cb9f50f832f76e8c47748e90e8e37.jpg
62,RGB,1040,1388,photomicrograph,/00b/sha1-00be9a0018170f88f28089acd82341d99b5a78f7.jpg
63,RGB,1040,1388,photomicrograph,/00c/sha1-00ca94092c3c55070591ae753ee4e7a0fe513ab0.jpg
64,RGB,880,1000,hand sample photograph,/00d/sha1-00d0383df3ae7184f6a49f15c251fcddfb439329.png
65,RGB,1040,1388,photomicrograph,/00d/sha1-00d2b20db238681459bac956b67a508ae0577b89.jpg
66,RGB,1040,1388,photomicrograph,/00d/sha1-00d31965f0e823e3345fd3e24004d801af8f9d29.jpg
67,RGB,391,554,stratigraphic isoattribute map,/00d/sha1-00d424fc6ec786af10b5f72b7d52ab558672389d.jpg
68,RGB,224,225,photomicrograph,/00d/sha1-00d4d28b88604647bb26076d21c56057e7835fb5.jpg
69,RGB,1040,1388,photomicrograph,/00d/sha1-00d69ad78104bbedebd7acffc9a6c09152178123.jpg
70,RGB,1040,1388,photomicrograph,/00d/sha1-00dbb044547f8731744dc3d1fc0cd7385545d4be.jpg
71,RGB,173,260,outcrop photograph,/00e/sha1-00e11cdd63c9d543e17f92e7e07399c2d6028318.jpg
72,RGB,1040,1388,photomicrograph,/00e/sha1-00e7193f8f672dfaf3002979a483c4a3deee6319.jpg
73,RGB,386,500,outcrop photograph,/00e/sha1-00ea8e5632c02f757380a2c501f8b7ca8b49effb.jpg
74,RGB,231,407,geological chart,/00e/sha1-00ec179b3f9a6af77c572d9e7f7188a8ef66a837.jpg
75,RGB,700,1024,outcrop photograph,/00f/sha1-00f285d58ea497e76055eb69ed8b39324f59d2e0.jpg
76,RGB,1040,1388,photomicrograph,/00f/sha1-00f716987a192aa6e1109511543232db6bd9f6fb.jpg
77,RGB,173,260,outcrop photograph,/00f/sha1-00f824e72cf7b320243176b6e08f4c02ea13531d.jpg
78,RGB,480,640,hand sample photograph,/00f/sha1-00fc4c74da71bd6317d59b01df36c0a18a8b7d07.jpg
79,RGB,707,944,3d block diagram,/010/sha1-0105a02480c483c925972de3e5c46c4085aaf3f4.jpg
80,RGB,365,840,geological cross section,/010/sha1-010bd5a7c9aaf777ba0de05e8dcf49139b01e8ac.png
81,RGB,333,459,photomicrograph,/010/sha1-010c70d1d66389017028ca13c8ef35a8d117daf2.png
82,RGB,1040,1388,photomicrograph,/010/sha1-010fa7339a55fe2968c92090a6ec16d5ab28f73c.jpg
83,RGB,211,350,bar chart,/011/sha1-0110ecefd61ac7e6999279835c2ab656e0b995b3.jpg
84,RGB,1040,1388,photomicrograph,/011/sha1-011107b5b131bc4f419d17951357adaf8d258548.jpg
85,P,729,500,3d block diagram,/011/sha1-011303911ef93948ab3ac1a11f0480aff1e46484.gif
86,RGB,1040,1388,photomicrograph,/011/sha1-0113d24c49888626c720baede92ada5568d4a85b.jpg
87,RGB,518,1000,3d block diagram,/011/sha1-0114d18423127e7832420c2605d4a0601ec66414.jpg
88,RGB,1040,1388,photomicrograph,/011/sha1-0114f2eee24c26814dabeeb334989d48c16c9e33.jpg
89,RGB,512,592,scatter plot,/011/sha1-01168c2122343e06f8db0da78f0ccd15d612f994.jpg
90,RGB,514,800,equipment photograph,/011/sha1-0117c0f81da041dcbd211ae50fbbc0d170076d2b.jpg
91,RGB,1040,1388,photomicrograph,/011/sha1-0119dbdf178296f088083e4c1be3f10d0a430cda.jpg
92,RGB,1040,1388,photomicrograph,/011/sha1-011aa6da1205c30b2abc7cbbcedb48c896ba3b17.jpg
93,RGB,225,225,3d block diagram,/011/sha1-011c9c0b811e886bf8431e6e6b14fd8ce4e3efb0.jpg
94,P,548,850,fluxogram,/012/sha1-0121c26a653ef938d104c7e5a3dd74f27abd0f1a.png
95,RGB,338,149,well core photograph,/012/sha1-012db30511d11a56784e12802b5e3c0afaa8b8eb.jpg
96,RGB,489,601,temperature map,/012/sha1-012e08e7322b7ab9cf9e8869ae36282ce18e1d9f.jpg
97,RGB,752,666,profile,/013/sha1-0131ec1d6972d94efbc84c2f464153999fc73189.jpg
98,RGBA,484,484,sattelite image,/013/sha1-0132adafde100c7c9927aeed50be65d52872e91e.png
99,RGBA,480,640,bar chart,/013/sha1-01366332aaad3d1dd72866f0aef53ee75d817f7e.png
100,RGB,1040,1388,photomicrograph,/013/sha1-01384e2dd9b63b95c46982670d6846bcce371791.jpg
101,P,148,341,variogram,/013/sha1-0139572a3db5fe2668459ed31f6369d39a8eb678.png
102,RGB,449,640,hand sample photograph,/013/sha1-01398cec45108882e29e17822ba3b7799e9b8c65.jpg
103,RGB,2067,1772,profile,/013/sha1-0139e0eecb9a1a97ac4c3888b7d1940b964751e3.png
104,P,894,704,profile,/013/sha1-013dedce65502695a98c1465db3669de64f49469.gif
105,RGB,1334,1867,reference map,/013/sha1-013fb065f40bace8301d48ad87aa579765347976.png
106,RGBA,484,484,sattelite image,/014/sha1-01409d5aec94cd6fa672166913f3c88f1571a3be.png
107,P,1061,850,fluxogram,/014/sha1-01450d051871eb450ecac0ed18856349ab36e13d.png
108,RGB,360,640,outcrop photograph,/014/sha1-01457ac384f2c5ebc7750561b4bd93544091f015.jpg
109,RGB,720,960,geological map,/014/sha1-014ba524e806db3ce6deb0c2a58dfe6916694653.jpg
110,RGB,194,259,3d block diagram,/014/sha1-014c669fd411b983fc61d096aff01a88be5d8944.jpg
111,RGB,854,1280,oil ship photograph,/014/sha1-014c73ca36f595cfbb89f48ba506f86e171ccd43.jpg
112,RGB,170,260,photomicrograph,/014/sha1-014d432f01f7b867d6557f3a984d357a01083688.jpg
113,RGB,2880,640,photomicrograph,/015/sha1-015177851271f9d1d830165d819e976890da010b.jpg
114,RGB,1040,1388,photomicrograph,/015/sha1-0153f3de21533f14c49f3f2b70c229a879f9bf32.jpg
115,P,128,394,variogram,/015/sha1-0153fb727794e06f4eb08abf8e01e49efc9967dd.png
116,RGB,720,1280,oil ship photograph,/015/sha1-015450458cfbe6f24ea1e550145077906d1f5657.jpg
117,RGB,375,500,outcrop photograph,/015/sha1-0154654393e10beaa0a0fb9e7801bf6b3a46ca62.jpg
118,RGB,1040,1388,photomicrograph,/015/sha1-0156aef0758daebc77097b54714c965d65041773.jpg
119,RGB,631,1790,outcrop photograph,/015/sha1-01588c886a6075d8382cb819e5bf07a321eca5e1.jpg
120,RGB,1040,1388,photomicrograph,/015/sha1-015b485a1019c55bf986606b219d8097847c6f07.jpg
121,RGB,722,1298,photomicrograph,/016/sha1-016727e922de3f7768d90b56472887ba27623930.jpg
122,RGB,438,655,bar chart,/016/sha1-0169dcc3cea1d84c657740ddaa904175b2eaa400.jpg
123,RGB,1040,1388,photomicrograph,/016/sha1-016fb48e89f3afba3fe0eeded7ebdb2b3d70aa1b.jpg
124,RGB,1040,1388,photomicrograph,/017/sha1-01709ca9d0b640f662474ef082ba5b1244cfd90c.jpg
125,RGB,1040,1388,photomicrograph,/017/sha1-0173d3b8b89e0ddaf2e8527dbb4409988fb854bc.jpg
126,RGB,300,400,oil ship photograph,/017/sha1-01744e205ae890a7e617840c7aa01fa238c7a2d5.jpg
127,RGB,999,1152,reference map,/017/sha1-01769d12262f8be8b12c368304d90d408b1a4e1b.png
128,RGB,674,664,submarine arrangement,/017/sha1-0179609f8fcd4f92323a16dff9eb2f6092fd478b.jpg
129,RGB,879,1085,scatter plot,/017/sha1-017ad1b840f3912f17c228bdf28eee82902ed565.png
130,RGB,808,1150,outcrop photograph,/018/sha1-0182d829036d63e349b0082d7c2641359702eec8.jpg
131,L,490,509,geological cross section,/018/sha1-0182f1979ccbebd58d96aa2d569b0bf4bcab980f.png
132,RGB,4488,5434,geological map,/018/sha1-018629dcdfb232bfe5c2e61c30cc4f838e62fa24.png
133,RGBA,500,500,box plot,/018/sha1-018acb815ef6db8abbd363d4b33452b0f1101011.png
134,RGB,620,513,fluxogram,/018/sha1-018b117c997b11528bc7ba7f26f93fcc2855258a.jpg
135,RGB,1040,1388,photomicrograph,/018/sha1-018b6eea63d71eac5c374d471fe8436dc47da630.jpg
136,P,190,266,van krevelen diagram,/018/sha1-018c24de5899bad727e29cffd84a39a8f5eeccd5.png
137,RGB,1040,1388,photomicrograph,/018/sha1-018f00e67b5f7cba9a552ee70f85c4f657c6a537.jpg
138,RGB,1728,1268,profile,/018/sha1-018f938f4acadde79d982bc7e2e03057826ce196.png
139,RGB,919,1299,reference map,/019/sha1-01911bc889e403f1ebec3cd52f66caa6386b318a.png
140,RGB,375,500,outcrop photograph,/019/sha1-0194822dede976997a5683bdd209907fa9f7fd69.jpg
141,RGB,2057,1500,outcrop photograph,/019/sha1-01954a49434e6f7b1189c5994d04ba55f4c0c1bc.jpg
142,P,256,197,variogram,/019/sha1-0195afa0e1fb67f54cc378e922e0735e01b9fb37.png
143,RGBA,1070,1564,stratigraphic isoattribute map,/019/sha1-0197597298de16488eb0c7fb6c5cd70e0c4b767a.png
144,RGB,1040,1388,photomicrograph,/019/sha1-0198ebea65b3b6664c75171c2676cf5e10766dee.jpg
145,RGB,582,560,reference map,/019/sha1-019a5831197c4a126844e34e05270e7b41241676.png
146,RGB,1040,1388,photomicrograph,/01a/sha1-01a08fddf221c086e40b67f55a06326f5fb2e976.jpg
147,RGB,430,750,oil rig photograph,/01a/sha1-01a0b5f8ffb440c7a8a459e43b335feb2a1bede9.jpg
148,RGB,473,468,scanning electron microscope image,/01a/sha1-01af872325fc6b2529effb0f515c52978d446afb.jpg
149,RGB,1040,1388,photomicrograph,/01b/sha1-01b33b6148fb589defc66f0bd23019631d9e1e5a.jpg
150,P,195,259,chromatogram,/01b/sha1-01b6bb2c01b1ec73d70be9866ddfeb33a7c424d6.png
151,RGB,174,289,geological map,/01b/sha1-01bef410665f9b61e6143956197ca41233a3e6a2.jpg
152,RGB,1025,1155,reference map,/01c/sha1-01c27b46c96f7d2810397fe202afbe27836eec84.png
153,RGB,643,856,geology sketch,/01c/sha1-01ca162874bd0620a77adc35d071dc01eef3946b.png
154,RGB,1327,1913,line graph,/01c/sha1-01ca97450210779197e240f82910fd31462b70ef.png
155,RGB,1040,1388,photomicrograph,/01c/sha1-01cd7c1e5af32933382c490f6c507bc2617e4d68.jpg
156,RGB,1040,1388,photomicrograph,/01d/sha1-01d01d4d880b4f2ad7dda1ec989388f315fc8880.jpg
157,RGB,901,1356,outcrop photograph,/01d/sha1-01d4b688edc92b7dce520e2f7ff91376b4cbb9ed.png
158,RGB,1040,1388,photomicrograph,/01d/sha1-01d79db8aa882e088f4aba508e6ac38b5dc6a821.jpg
159,RGB,552,546,reference map,/01d/sha1-01d7fc0cec5f5c5e2c41830ea45134ce44e9813b.png
160,P,661,800,reference map,/01d/sha1-01dc1db37c6167e1852fcd0bbf3fe2e5d669b3ad.png
161,RGB,1292,1865,reference map,/01d/sha1-01ddb51bddbd522dc7c9dcf05e55a12cc92a2539.png
162,RGB,1040,1388,photomicrograph,/01d/sha1-01dee1b8b4b37d4bb9ac337bef734592779aefc9.jpg
163,RGB,507,802,3d block diagram,/01d/sha1-01dfeb4856ea02df5fadaf03d64a74ccf0430a8a.jpg
164,RGB,117,92,person portrait photograph,/01e/sha1-01e05191853d8fe448c9cfd32e195aa8e0315da7.jpg
165,RGB,1040,1388,photomicrograph,/01e/sha1-01e0c0f16f861e7e1bbf25d9feb9aeb3f7c9aff0.jpg
166,RGB,479,638,3d block diagram,/01e/sha1-01e4ae1116f40977670715e137ab9be7b16284d0.jpg
167,RGB,570,565,reference map,/01e/sha1-01ea8779c4b7afd929e8af7ee9547d7e8a9f2f99.png
168,RGB,1040,1388,photomicrograph,/01e/sha1-01ec7b489b5882a63affc961d73926daacf59a10.jpg
169,RGB,1040,1388,photomicrograph,/01f/sha1-01f03182f4d3a7c20fc4f0e6781a22828d8ccf23.jpg
170,RGB,806,566,hand sample photograph,/01f/sha1-01f04fedc358b450292f20b5e18c498ef4472344.jpg
171,RGB,191,260,outcrop photograph,/01f/sha1-01f0747d2cbcafc59b2c9ec196053284cf54e15c.jpg
172,RGB,827,1169,reference map,/01f/sha1-01f4b9ecc883847148a3833291aaf7c15ee59da3.jpg
173,RGB,1040,1388,photomicrograph,/01f/sha1-01f5e93d76b280100d9b0264e20488f09db7b648.jpg
174,RGB,1040,1388,photomicrograph,/01f/sha1-01f649d9bf636849849028229b589703de3b6037.jpg
175,RGB,2335,3416,geology sketch,/01f/sha1-01fc8f8cf1e82c3a2db74ad0e8079f0a6fe93645.png
176,RGB,982,1472,oil rig photograph,/01f/sha1-01fe8cdf3506c5dc680a658288c3458e7906ea70.jpg
177,P,265,850,stereogram,/01f/sha1-01ffe958824a7ad893a935f43249d47dbd31504a.png
178,RGB,768,1024,3d block diagram,/020/sha1-020238fc7417a40842c836eccaef3a4cd1eea5b4.jpg
179,RGB,2926,2458,geological map,/020/sha1-02026907babcb17ef50f81b74e1d1b026cdce2ca.jpg
180,RGB,805,136,well core photograph,/020/sha1-0206089859f434d3dbea30dd867ef92759af8035.jpg
181,RGB,1228,1767,reference map,/020/sha1-0208056fe8efc4c4fe3084f6eddfa6c2be1b2b27.png
182,RGB,490,1034,bar chart,/020/sha1-020d8efc4f963a66746ffb104826a47fec554ce9.jpg
183,RGB,1040,1388,photomicrograph,/020/sha1-020e2be94ef8cf0c3faf5e8b6bdaebed71f23829.jpg
184,RGB,1616,1408,profile,/020/sha1-020fa332041505612b3d6591b072a6f931b51729.png
185,RGB,499,333,outcrop photograph,/021/sha1-02117f6f7261959492ad9853b393bb5341545aa1.jpg
186,RGB,1040,1388,photomicrograph,/021/sha1-0215f38c45dd1d6bdd99750fda05e59c19601e52.jpg
187,RGB,1040,1388,photomicrograph,/021/sha1-021856260b1e34be36879745add2834eab27ae97.jpg
188,RGB,1775,1800,profile,/021/sha1-021ccc611e444ae09cb31121561aeda6c666f859.jpg
189,RGB,1814,2301,scatter plot,/021/sha1-021dbe6bf146b5d428801176e254b9f20a56b115.jpg
190,RGB,355,375,photomicrograph,/021/sha1-021dc06a969299f47f18eceecdc195e4b73abdc1.jpg
191,RGB,417,793,geology sketch,/022/sha1-02221abd588b13c6b3f18a0793e3259b73cd3d2f.jpg
192,RGB,2067,1772,geological chart,/022/sha1-02277d47590cc894e4276cd11beebce052d87283.png
193,RGBA,484,484,sattelite image,/022/sha1-022910c1ac092f3ac7bcb8985b713b6af5f7796c.png
194,RGB,1040,1388,photomicrograph,/022/sha1-022a286a90cacf527272dc98d7b9bfc91fc704e0.jpg
195,P,236,609,seismic section,/023/sha1-02347c3fc987103a0062c2041e0c355629420e39.gif
196,RGB,444,353,fluxogram,/023/sha1-0237fd4ab880dfed32859aa1d312bb8db955d233.jpg
197,RGB,1040,1388,photomicrograph,/023/sha1-023aa233be983bee3ddc0036a1196d0da19598f6.jpg
198,RGB,173,260,photomicrograph,/024/sha1-02408747ec30110dcb3acfa49cd1861ccdb44018.jpg
199,RGB,405,757,equipment photograph,/024/sha1-0243916e4a9373457a1c13954739b49745e27df0.jpg
200,RGB,1539,2337,sattelite image,/024/sha1-0246247b667bf3219c5618c7d0cfa3f17341bdb6.jpg
201,RGB,229,355,scanning electron microscope image,/024/sha1-0249863119661286394cd6138d07d522760accc9.jpg
202,RGB,833,850,3d block diagram,/024/sha1-024a9d01eaf0c1fc57baee01f99807fa5cefe570.png
203,RGB,1193,1957,line graph,/024/sha1-024bc1351abd0dcafcd42fcdaa537de63519877c.png
204,RGB,173,292,geological cross section,/024/sha1-024d2a7ec162a9ba559f1f0ec100936e11578a52.jpg
205,RGB,1022,1150,reference map,/024/sha1-024da567316608a065fc0a0d7464f56ff5fb81be.png
206,RGB,1040,1388,photomicrograph,/025/sha1-02529c6631da916562e58ec3ed5a58cef8e99892.jpg
207,RGB,115,88,person portrait photograph,/025/sha1-0252f6713cfb488a0619567050bd663c68372bc1.jpg
208,RGB,1040,1388,photomicrograph,/025/sha1-025415e853622c3fd4de3b3636afa3b22dc09168.jpg
209,RGB,1040,1388,photomicrograph,/025/sha1-02565b7615d764f90c3138389fb6cdcf613f4485.jpg
210,RGB,1040,1388,photomicrograph,/025/sha1-0259cea929f48b6e27ce27077a421a2f1ee1edfe.jpg
211,RGB,512,466,geophysical map,/025/sha1-0259f8154be6674417c8a61a37c9282ef9832ad4.jpg
212,RGB,741,1305,3d block diagram,/025/sha1-025a353b785c6941cab55196674928897e2497f6.jpg
213,RGB,1040,1388,photomicrograph,/026/sha1-02624ca7b932bf3a1e8d20f2897a392c3b416cca.jpg
214,RGB,631,365,geological map,/026/sha1-0262e73b50f14f119b40c9af8cdd9b21745868cb.jpg
215,RGB,1040,1388,photomicrograph,/026/sha1-0266cb6dc5c24d02cce8666514ef6edb643f3bf2.jpg
216,RGB,468,1831,scatter plot,/026/sha1-026ab8db6efdd39672fbbe7de1e860282f8988a4.jpg
217,L,355,473,variogram,/026/sha1-026b149e422892e7cea504b2b55e8f7b0919465a.png
218,RGB,1040,1215,reference map,/026/sha1-026c45600a5445a81e4f261a857951a4dfc1baf9.png
219,RGB,166,303,geological map,/027/sha1-02721c9b3070be0b30c87c8d12808fa7c983a26d.jpg
220,P,421,700,3d block diagram,/027/sha1-0272335066d0871077550bce30a43ffd6574f57c.gif
221,RGB,368,806,ternary diagram,/027/sha1-02733baaf16740c23fe533f6ee1b0b23c2561448.png
222,RGB,520,582,reference map,/027/sha1-0274e1838a5fdce14bd176a72d4603854260b4fc.png
223,RGBA,618,881,3d visualization,/027/sha1-0278ec96c6ebc8d210f238bb89c2aa68eba07f77.png
224,RGB,1040,1388,photomicrograph,/027/sha1-027b262e5ca5236c9893b5017cb701d5061c8c2b.jpg
225,RGB,1099,1142,seismic section,/027/sha1-027bdbc3478ca502fd0c6d5899905f430ac3e375.jpg
226,RGB,1750,2333,bar chart,/027/sha1-027e1d073a755daeb671b9ccd3c936b0ecabede3.png
227,RGB,1040,1388,photomicrograph,/027/sha1-027f455aaa4bab369135e5fc2031bbc4b9656fa2.jpg
228,P,315,387,plant and project sketch,/027/sha1-027fe1cd9154665b82f30979be71ce10a39ddeeb.png
229,RGB,694,600,fluxogram,/028/sha1-0280883ec218a051d4ea2c2937325411932ca7eb.jpg
230,RGB,172,260,outcrop photograph,/028/sha1-02871a116e989e6f5d25dd156c05980a17be2484.jpg
231,L,690,472,scatter plot,/028/sha1-028aff7ad71f7ff83178a697eed9c0ac071d0fe9.png
232,RGB,512,493,stereogram,/028/sha1-028e496d3f2e67f1d871342f0e9739259fc30313.jpg
233,RGB,1040,1388,photomicrograph,/029/sha1-029280bc278b2d6bccb284d048f64419850aec73.jpg
234,RGBA,461,850,fluxogram,/029/sha1-0293a68e440ce495c6f938920d233180729b692e.png
235,P,412,913,radar chart,/029/sha1-0294ab74210bc92c5ddd5633aeee38a8c9c29703.png
236,RGBA,1208,1606,structure contour map,/029/sha1-0299c1ef5aba564a31422c735fd0e6e6c8f242cc.png
237,RGB,173,260,outcrop photograph,/029/sha1-029a4e87b39e0b9469eeb47c1a32a0fd9147e681.jpg
238,L,538,538,equipment sketch,/029/sha1-029bb431d19169d397d6fb812f44f6df302c2f88.jpg
239,RGBA,481,458,bar chart,/029/sha1-029ed064c633bc5d2804da06f12de8cf69109c9a.png
240,RGB,334,500,outcrop photograph,/029/sha1-029f2116b89af17b40576a4d633eb381df617ca4.jpg
241,RGB,1370,1801,geological map,/02a/sha1-02a012328d45ed77e75193259f8fb81fd723e827.jpg
242,RGB,1040,1388,photomicrograph,/02a/sha1-02a063b3487ce41ba5e6f3d91d58ac75e4c3a4d5.jpg
243,RGB,1040,1388,photomicrograph,/02a/sha1-02a0dd56dfaedcb948eb026c50f4ac310cb8bc05.jpg
244,RGB,393,172,scanning electron microscope image,/02a/sha1-02a2e58f426158e8becc3f08489b084c687529f9.jpg
245,RGB,995,1036,3d block diagram,/02a/sha1-02a931ae0f0aeacea5519b46a55d985422688f4a.png
246,RGB,184,274,geological map,/02a/sha1-02ae2ffc43129016c52e7cb2f7e6364af898627d.jpg
247,RGB,1385,1300,photomicrograph,/02a/sha1-02ae96273093ff605dc037057093822f69590486.jpg
248,RGB,694,1169,sattelite image,/02b/sha1-02b4c8cbb658d57beaef65c2272c3afa08fe81ed.jpg
249,RGB,1040,1388,photomicrograph,/02b/sha1-02b67b0827796c3a39a779b210054e9b2e9368ef.jpg
250,RGB,880,895,geological map,/02b/sha1-02b826226b78198346b1d628be848425b7883e15.png
251,RGB,1040,1388,photomicrograph,/02b/sha1-02ba1918ca443f61a206e7e0251b14a7d8a43091.jpg
252,RGB,1040,1388,photomicrograph,/02b/sha1-02bb129e5c539b7d12ea46d0170a851502ba379b.jpg
253,RGB,1040,1388,photomicrograph,/02b/sha1-02bc68cbbe981dede8127cf6f9022a8dd2a8a987.jpg
254,RGB,375,500,outcrop photograph,/02b/sha1-02be3292e89cc0f59501cfec816e7f547680696b.jpg
255,RGB,2108,1892,geological map,/02b/sha1-02bf3a1e13812db2121911c8d952102461ceea8b.jpg
256,RGB,4677,3307,reference map,/02c/sha1-02c8664a38106d3d2bf0855218ff6633e37f5960.jpg
257,RGBA,369,550,fluxogram,/02c/sha1-02c8dde349e273fda6c047f2c01d54c6fcb79ab0.png
